"id","is_get_time","name","price","secondClassCN","snapshot_time","commit_time"
"182","1767227847","GN 重型头盔 (破损)","118912","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:27+00:00"
"183","1767227850","武士防弹背心","119892","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:30+00:00"
"184","1767227935","SV98升华超长枪管","104782","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"185","1767227885","PKM泽宁特枪托","81869","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:05+00:00"
"186","1767227849","MC防弹头盔 (破损)","7699","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:29+00:00"
"187","1767227838","PSG-1射手步枪","116100","精确射手步枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:18+00:00"
"188","1767227882","95长弓平台套件","33757","护木","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:02+00:00"
"189","1767227935","R93轻盈短枪管","62631","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"190","1767227935","勇士海狸枪管","35448","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"191","1767227889","CR棱镜阻手器","25125","前握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:09+00:00"
"192","1767227861","突袭战术背包","8250","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:41+00:00"
"193","1767227880","M4扩容45发弹匣","24956","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:00+00:00"
"194","1767227935","SCARH实用标准枪管","21231","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"195","1767227889","折叠握把","13621","前握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:09+00:00"
"196","1767227845","H70 精英头盔 (几乎全新)","949604","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:25+00:00"
"197","1767227850","TG-H防弹衣","48389","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:30+00:00"
"198","1767227853","武士防弹背心 (几乎全新)","90398","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:33+00:00"
"199","1767227858","DRC先进侦察胸挂","74290","胸挂","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:38+00:00"
"200","1767227860","D3战术登山包","108460","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:40+00:00"
"201","1767227843","防暴头盔","24337","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:23+00:00"
"202","1767227881","G系手枪33发弹匣","13142","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:01+00:00"
"203","1767227929","侧置微型红点瞄准镜","21670","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:49+00:00"
"204","1767227933","AK12前线长枪管","37094","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:53+00:00"
"205","1767227936","S12K实用短枪管组合","22737","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:56+00:00"
"206","1767227833","腾龙突击步枪","123182","步枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:13+00:00"
"207","1767227882","SVD导轨护木","33303","护木","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:02+00:00"
"208","1767227930","AR特勤一体消音组合","74014","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:50+00:00"
"209","1767227853","HA-2重型防弹衣 (几乎全新)","1407716","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:33+00:00"
"210","1767227935","G3飓风短枪管组合","35406","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"211","1767227890","MP7平衡后握把","51551","后握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:10+00:00"
"212","1767227840","QSZ92G","4800","手枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:20+00:00"
"213","1767227861","DG运动背包","6128","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:41+00:00"
"214","1767227936","AR碳纤维枪管组合","16344","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:56+00:00"
"215","1767227939","漩涡消焰器","14369","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:59+00:00"
